device,model,task,image,resolution,experiment,metric,value,n_iters,measured_at
cuda,sam2-tiny,segmentation,set,640,warm_latency,median_ms,139.1691274999971,50,2026-06-30
cuda,sam2-tiny,segmentation,set,640,warm_latency,std_ms,6.791769437394525,50,2026-06-30
cuda,sam2-tiny,segmentation,set,640,throughput,imgs_per_sec,7.0686059111777295,50,2026-06-30
cuda,sam2-tiny,segmentation,set,640,peak_gpu,gpu_mem_mb,568.2294921875,1,2026-06-30
cuda,sam2-tiny,segmentation,set,960,cold_start,first_call_ms,539.8466880000115,1,2026-06-30
cuda,sam2-tiny,segmentation,set,960,warm_latency,mean_ms,159.10389337999504,50,2026-06-30
cuda,sam2-tiny,segmentation,set,960,warm_latency,median_ms,151.48780500004477,50,2026-06-30
cuda,sam2-tiny,segmentation,set,960,warm_latency,std_ms,13.363948444035508,50,2026-06-30
cuda,sam2-tiny,segmentation,set,960,throughput,imgs_per_sec,6.285201315668968,50,2026-06-30
cuda,sam2-tiny,segmentation,set,960,peak_gpu,gpu_mem_mb,568.7177734375,1,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,cold_start,first_call_ms,556.8153270000948,1,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,warm_latency,mean_ms,181.35295330000645,50,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,warm_latency,median_ms,170.43001600001162,50,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,warm_latency,std_ms,23.519444842817027,50,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,throughput,imgs_per_sec,5.5141092648528955,50,2026-06-30
cuda,sam2-tiny,segmentation,set,1280,peak_gpu,gpu_mem_mb,570.2763671875,1,2026-06-30
cuda,rfdetr-nano,detection,set,320,cold_start,first_call_ms,26575.216919000013,1,2026-06-30
cuda,rfdetr-nano,detection,set,320,warm_latency,mean_ms,38.833344240010774,50,2026-06-30
cuda,rfdetr-nano,detection,set,320,warm_latency,median_ms,37.40656749999971,50,2026-06-30
cuda,rfdetr-nano,detection,set,320,warm_latency,std_ms,4.018236671841821,50,2026-06-30
cuda,rfdetr-nano,detection,set,320,throughput,imgs_per_sec,25.751065728963923,50,2026-06-30
cuda,rfdetr-nano,detection,set,320,peak_gpu,gpu_mem_mb,176.7060546875,1,2026-06-30
cuda,rfdetr-nano,detection,set,640,cold_start,first_call_ms,3474.5249529999,1,2026-06-30
cuda,rfdetr-nano,detection,set,640,warm_latency,mean_ms,44.99464653999894,50,2026-06-30
cuda,rfdetr-nano,detection,set,640,warm_latency,median_ms,43.79080649999878,50,2026-06-30
cuda,rfdetr-nano,detection,set,640,warm_latency,std_ms,3.6735035712373647,50,2026-06-30
cuda,rfdetr-nano,detection,set,640,throughput,imgs_per_sec,22.224866220718702,50,2026-06-30
cuda,rfdetr-nano,detection,set,640,peak_gpu,gpu_mem_mb,179.7060546875,1,2026-06-30
cuda,rfdetr-nano,detection,set,960,cold_start,first_call_ms,3053.6867529999654,1,2026-06-30
cuda,rfdetr-nano,detection,set,960,warm_latency,mean_ms,61.21118648000902,50,2026-06-30
cuda,rfdetr-nano,detection,set,960,warm_latency,median_ms,56.40477000002875,50,2026-06-30
cuda,rfdetr-nano,detection,set,960,warm_latency,std_ms,12.63574998426493,50,2026-06-30
cuda,rfdetr-nano,detection,set,960,throughput,imgs_per_sec,16.336883133715933,50,2026-06-30
cuda,rfdetr-nano,detection,set,960,peak_gpu,gpu_mem_mb,186.5341796875,1,2026-06-30
cuda,rfdetr-nano,detection,set,1280,cold_start,first_call_ms,3021.003438999969,1,2026-06-30
cuda,rfdetr-nano,detection,set,1280,warm_latency,mean_ms,94.10843118000457,50,2026-06-30
cuda,rfdetr-nano,detection,set,1280,warm_latency,median_ms,82.59446699997852,50,2026-06-30
cuda,rfdetr-nano,detection,set,1280,warm_latency,std_ms,21.998293203406853,50,2026-06-30
cuda,rfdetr-nano,detection,set,1280,throughput,imgs_per_sec,10.626040488203062,50,2026-06-30
cuda,rfdetr-nano,detection,set,1280,peak_gpu,gpu_mem_mb,193.7685546875,1,2026-06-30
cuda,yolo-world,detection,set,320,cold_start,first_call_ms,6561.499583,1,2026-06-30
cuda,yolo-world,detection,set,320,warm_latency,mean_ms,57.20059614000547,50,2026-06-30
cuda,yolo-world,detection,set,320,warm_latency,median_ms,56.217954500027645,50,2026-06-30
cuda,yolo-world,detection,set,320,warm_latency,std_ms,3.8010977439118236,50,2026-06-30
cuda,yolo-world,detection,set,320,throughput,imgs_per_sec,17.482335281128492,50,2026-06-30
cuda,yolo-world,detection,set,320,peak_gpu,gpu_mem_mb,767.05224609375,1,2026-06-30
cuda,yolo-world,detection,set,640,cold_start,first_call_ms,3863.43057900001,1,2026-06-30
cuda,yolo-world,detection,set,640,warm_latency,mean_ms,92.79825573999915,50,2026-06-30
cuda,yolo-world,detection,set,640,warm_latency,median_ms,65.02601549999554,50,2026-06-30
cuda,yolo-world,detection,set,640,warm_latency,std_ms,51.33497991904574,50,2026-06-30
cuda,yolo-world,detection,set,640,throughput,imgs_per_sec,10.77606461485425,50,2026-06-30
cuda,yolo-world,detection,set,640,peak_gpu,gpu_mem_mb,863.19677734375,1,2026-06-30
cuda,yolo-world,detection,set,960,cold_start,first_call_ms,3855.7237369999484,1,2026-06-30
cuda,yolo-world,detection,set,960,warm_latency,mean_ms,64.12674085999925,50,2026-06-30
cuda,yolo-world,detection,set,960,warm_latency,median_ms,62.722368499976255,50,2026-06-30
cuda,yolo-world,detection,set,960,warm_latency,std_ms,4.129303044514432,50,2026-06-30
cuda,yolo-world,detection,set,960,throughput,imgs_per_sec,15.59411856253834,50,2026-06-30
cuda,yolo-world,detection,set,960,peak_gpu,gpu_mem_mb,963.15380859375,1,2026-06-30
