device,model,task,image_id,latency_ms,resolution,measured_at
cuda,yolo11n,detection,000000000438,23.059843000282854,640,2026-07-01
cuda,yolo11n,detection,000000000443,15.949666000324214,640,2026-07-01
cuda,yolo11n,detection,000000000446,14.577822999854106,640,2026-07-01
cuda,yolo11n,detection,000000000450,17.70954499988875,640,2026-07-01
cuda,yolo11n,detection,000000000459,15.207059000204026,640,2026-07-01
cuda,yolo11n,detection,000000000471,23.78274300008343,640,2026-07-01
cuda,yolo11n,detection,000000000472,19.859125000039057,640,2026-07-01
cuda,yolo11n,detection,000000000474,15.207220999855053,640,2026-07-01
cuda,yolo11n,detection,000000000486,15.593099999932747,640,2026-07-01
cuda,yolo11n,detection,000000000488,17.78603100001419,640,2026-07-01
cuda,yolo11n,detection,000000000490,15.47244400035197,640,2026-07-01
cuda,yolo11n,detection,000000000491,14.425942000343639,640,2026-07-01
cuda,yolo11n,detection,000000000502,14.589291999982379,640,2026-07-01
cuda,yolo11n,detection,000000000508,13.817486999869288,640,2026-07-01
cuda,yolo11n,detection,000000000510,15.939032999995106,640,2026-07-01
cuda,yolo11n,detection,000000000514,13.967461999982334,640,2026-07-01
cuda,yolo11n,detection,000000000520,18.085298000187322,640,2026-07-01
cuda,yolo11n,detection,000000000529,15.38925599970753,640,2026-07-01
cuda,yolo11n,detection,000000000531,17.056491000403184,640,2026-07-01
cuda,yolo11n,detection,000000000532,17.361203999826103,640,2026-07-01
cuda,yolo11n,detection,000000000536,16.11423000031209,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000009,73.21744099999705,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000025,56.34816599967962,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000030,69.83501800004888,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000034,34.23968600009175,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000036,54.21351799986951,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000042,34.610195999903226,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000049,180.3766650000398,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000061,85.35773799985691,640,2026-07-01
cuda,yolo11n-seg,segmentation,000000000064,49.88933500044368,640,2026-07-01
