device,model,task,image_id,latency_ms,resolution,measured_at
cpu,yolo11n,detection,000000000438,245.53147298865952,640,2026-07-01
cpu,yolo11n,detection,000000000443,220.94250700320117,640,2026-07-01
cpu,yolo11n,detection,000000000446,211.58383000874892,640,2026-07-01
cpu,yolo11n,detection,000000000450,343.25080100097694,640,2026-07-01
cpu,yolo11n,detection,000000000459,241.70241999672726,640,2026-07-01
cpu,yolo11n,detection,000000000471,209.5145280181896,640,2026-07-01
cpu,yolo11n,detection,000000000472,145.92303699464537,640,2026-07-01
cpu,yolo11n,detection,000000000474,305.6947599980049,640,2026-07-01
cpu,yolo11n,detection,000000000486,271.47779799997807,640,2026-07-01
cpu,yolo11n,detection,000000000488,218.9229229988996,640,2026-07-01
cpu,yolo11n,detection,000000000490,141.43642500857823,640,2026-07-01
cpu,yolo11n,detection,000000000491,254.5923109864816,640,2026-07-01
cpu,yolo11n,detection,000000000502,269.57229000981897,640,2026-07-01
cpu,yolo11n,detection,000000000508,232.39353401004337,640,2026-07-01
cpu,yolo11n,detection,000000000510,202.67470701946877,640,2026-07-01
cpu,yolo11n,detection,000000000514,189.95346300653182,640,2026-07-01
cpu,yolo11n,detection,000000000520,234.11016500904225,640,2026-07-01
cpu,yolo11n,detection,000000000529,302.06924700178206,640,2026-07-01
cpu,yolo11n,detection,000000000531,250.5039579991717,640,2026-07-01
cpu,yolo11n,detection,000000000532,207.41433301009238,640,2026-07-01
cpu,yolo11n,detection,000000000536,237.12531599448994,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000009,361.41709799994715,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000025,458.1566249835305,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000030,282.3119400127325,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000034,325.86080898181535,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000036,349.62537401588634,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000042,267.2217310173437,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000049,452.53227002103813,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000061,449.20535301207565,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000064,237.6320699986536,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000071,492.8439420182258,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000072,351.2939230131451,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000073,286.55569700640626,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000074,417.0557190082036,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000077,368.5782780230511,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000078,370.24894898058847,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000081,308.654383989051,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000086,290.55116401286796,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000089,416.04747500969097,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000092,363.5632160003297,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000094,276.7198699875735,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000109,352.404983015731,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000110,550.4715070128441,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000113,338.9884250063915,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000127,475.18939001020044,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000133,257.9707019904163,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000136,380.24947899975814,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000138,447.57883599959314,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000142,312.04865098698065,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000143,446.0463029972743,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000144,315.21005000104196,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000149,372.76484799804166,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000151,338.5934279940557,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000154,308.017306990223,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000164,326.7415809968952,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000165,381.45231499220245,640,2026-07-01
