device,model,task,image,resolution,experiment,metric,value,n_iters,measured_at
cpu,sam2-tiny,segmentation,set,640,warm_latency,std_ms,239.66094948277106,10,2026-07-01
cpu,sam2-tiny,segmentation,set,640,throughput,imgs_per_sec,0.1730699210233462,10,2026-07-01
cpu,sam2-tiny,segmentation,set,640,peak_rss,rss_mb,1134.38671875,1,2026-07-01
cpu,sam2-tiny,segmentation,set,960,cold_start,first_call_ms,5688.531127991155,1,2026-07-01
cpu,sam2-tiny,segmentation,set,960,warm_latency,mean_ms,5119.144701502228,10,2026-07-01
cpu,sam2-tiny,segmentation,set,960,warm_latency,median_ms,5075.4022905020975,10,2026-07-01
cpu,sam2-tiny,segmentation,set,960,warm_latency,std_ms,116.47183197489376,10,2026-07-01
cpu,sam2-tiny,segmentation,set,960,throughput,imgs_per_sec,0.19534513249968244,10,2026-07-01
cpu,sam2-tiny,segmentation,set,960,peak_rss,rss_mb,1138.33984375,1,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,cold_start,first_call_ms,5552.749536989722,1,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,warm_latency,mean_ms,5179.295546999492,10,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,warm_latency,median_ms,5109.64551550569,10,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,warm_latency,std_ms,150.83030957157936,10,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,throughput,imgs_per_sec,0.19307645044108893,10,2026-07-01
cpu,sam2-tiny,segmentation,set,1280,peak_rss,rss_mb,1138.390625,1,2026-07-01
cpu,rfdetr-nano,detection,set,320,cold_start,first_call_ms,10922.815106998314,1,2026-07-01
cpu,rfdetr-nano,detection,set,320,warm_latency,mean_ms,476.3706937999814,10,2026-07-01
cpu,rfdetr-nano,detection,set,320,warm_latency,median_ms,464.58358600648353,10,2026-07-01
cpu,rfdetr-nano,detection,set,320,warm_latency,std_ms,84.52252229767011,10,2026-07-01
cpu,rfdetr-nano,detection,set,320,throughput,imgs_per_sec,2.099205541010632,10,2026-07-01
cpu,rfdetr-nano,detection,set,320,peak_rss,rss_mb,1138.390625,1,2026-07-01
cpu,rfdetr-nano,detection,set,640,cold_start,first_call_ms,4630.182312001125,1,2026-07-01
cpu,rfdetr-nano,detection,set,640,warm_latency,mean_ms,493.10764360125177,10,2026-07-01
cpu,rfdetr-nano,detection,set,640,warm_latency,median_ms,491.75901299895486,10,2026-07-01
cpu,rfdetr-nano,detection,set,640,warm_latency,std_ms,43.35078245352683,10,2026-07-01
cpu,rfdetr-nano,detection,set,640,throughput,imgs_per_sec,2.027954774127662,10,2026-07-01
cpu,rfdetr-nano,detection,set,640,peak_rss,rss_mb,1138.390625,1,2026-07-01
cpu,rfdetr-nano,detection,set,960,cold_start,first_call_ms,4200.059847993543,1,2026-07-01
cpu,rfdetr-nano,detection,set,960,warm_latency,mean_ms,557.9700969014084,10,2026-07-01
cpu,rfdetr-nano,detection,set,960,warm_latency,median_ms,525.5021334960475,10,2026-07-01
cpu,rfdetr-nano,detection,set,960,warm_latency,std_ms,134.85453661579112,10,2026-07-01
cpu,rfdetr-nano,detection,set,960,throughput,imgs_per_sec,1.7922107395240876,10,2026-07-01
cpu,rfdetr-nano,detection,set,960,peak_rss,rss_mb,1138.390625,1,2026-07-01
cpu,rfdetr-nano,detection,set,1280,cold_start,first_call_ms,4112.181315998896,1,2026-07-01
cpu,rfdetr-nano,detection,set,1280,warm_latency,mean_ms,566.7627790026017,10,2026-07-01
cpu,rfdetr-nano,detection,set,1280,warm_latency,median_ms,558.7304325017612,10,2026-07-01
cpu,rfdetr-nano,detection,set,1280,warm_latency,std_ms,145.88682376518034,10,2026-07-01
cpu,rfdetr-nano,detection,set,1280,throughput,imgs_per_sec,1.7644066213377951,10,2026-07-01
cpu,rfdetr-nano,detection,set,1280,peak_rss,rss_mb,1138.390625,1,2026-07-01
cpu,yolo-world,detection,set,320,cold_start,first_call_ms,8251.196607001475,1,2026-07-01
cpu,yolo-world,detection,set,320,warm_latency,mean_ms,1114.5052152991411,10,2026-07-01
cpu,yolo-world,detection,set,320,warm_latency,median_ms,1158.7748085003113,10,2026-07-01
cpu,yolo-world,detection,set,320,warm_latency,std_ms,135.66911024939853,10,2026-07-01
cpu,yolo-world,detection,set,320,throughput,imgs_per_sec,0.8972591480710056,10,2026-07-01
cpu,yolo-world,detection,set,320,peak_rss,rss_mb,2332.1015625,1,2026-07-01
cpu,yolo-world,detection,set,640,cold_start,first_call_ms,6976.167547007208,1,2026-07-01
cpu,yolo-world,detection,set,640,warm_latency,mean_ms,996.8939839032828,10,2026-07-01
cpu,yolo-world,detection,set,640,warm_latency,median_ms,950.8304065093398,10,2026-07-01
cpu,yolo-world,detection,set,640,warm_latency,std_ms,83.11630229938248,10,2026-07-01
cpu,yolo-world,detection,set,640,throughput,imgs_per_sec,1.0031156934908523,10,2026-07-01
cpu,yolo-world,detection,set,640,peak_rss,rss_mb,2567.56640625,1,2026-07-01
cpu,yolo-world,detection,set,960,cold_start,first_call_ms,6243.357746003312,1,2026-07-01
cpu,yolo-world,detection,set,960,warm_latency,mean_ms,1117.2862593026366,10,2026-07-01
cpu,yolo-world,detection,set,960,warm_latency,median_ms,1051.505277006072,10,2026-07-01
cpu,yolo-world,detection,set,960,warm_latency,std_ms,192.89457475705672,10,2026-07-01
cpu,yolo-world,detection,set,960,throughput,imgs_per_sec,0.8950257748843686,10,2026-07-01
cpu,yolo-world,detection,set,960,peak_rss,rss_mb,2587.8671875,1,2026-07-01
cpu,yolo-world,detection,set,1280,cold_start,first_call_ms,6808.223954009009,1,2026-07-01
cpu,yolo-world,detection,set,1280,warm_latency,mean_ms,1021.850547203212,10,2026-07-01
cpu,yolo-world,detection,set,1280,warm_latency,median_ms,1025.2213979983935,10,2026-07-01
cpu,yolo-world,detection,set,1280,warm_latency,std_ms,38.37541729509276,10,2026-07-01
cpu,yolo-world,detection,set,1280,throughput,imgs_per_sec,0.978616689825125,10,2026-07-01
cpu,yolo-world,detection,set,1280,peak_rss,rss_mb,2615.05078125,1,2026-07-01
cpu,mask2former,segmentation,set,320,cold_start,first_call_ms,6136.836427001981,1,2026-07-01
cpu,mask2former,segmentation,set,320,warm_latency,mean_ms,2313.7673568024184,10,2026-07-01
cpu,mask2former,segmentation,set,320,warm_latency,median_ms,2303.8424644983024,10,2026-07-01
cpu,mask2former,segmentation,set,320,warm_latency,std_ms,110.44016393321778,10,2026-07-01
cpu,mask2former,segmentation,set,320,throughput,imgs_per_sec,0.43219556929957753,10,2026-07-01
cpu,mask2former,segmentation,set,320,peak_rss,rss_mb,2615.05078125,1,2026-07-01
cpu,mask2former,segmentation,set,640,cold_start,first_call_ms,3799.2829279974103,1,2026-07-01
cpu,mask2former,segmentation,set,640,warm_latency,mean_ms,2465.0707083012094,10,2026-07-01
cpu,mask2former,segmentation,set,640,warm_latency,median_ms,2454.815168493951,10,2026-07-01
cpu,mask2former,segmentation,set,640,warm_latency,std_ms,107.39193434380147,10,2026-07-01
cpu,mask2former,segmentation,set,640,throughput,imgs_per_sec,0.4056678766383723,10,2026-07-01
cpu,mask2former,segmentation,set,640,peak_rss,rss_mb,2615.05078125,1,2026-07-01
cpu,mask2former,segmentation,set,960,cold_start,first_call_ms,4065.519777999725,1,2026-07-01
cpu,mask2former,segmentation,set,960,warm_latency,mean_ms,2803.095507004764,10,2026-07-01
cpu,mask2former,segmentation,set,960,warm_latency,median_ms,2800.9989030033466,10,2026-07-01
cpu,mask2former,segmentation,set,960,warm_latency,std_ms,125.65297593171789,10,2026-07-01
cpu,mask2former,segmentation,set,960,throughput,imgs_per_sec,0.35674845808894534,10,2026-07-01
cpu,mask2former,segmentation,set,960,peak_rss,rss_mb,2615.05078125,1,2026-07-01
cpu,mask2former,segmentation,set,1280,cold_start,first_call_ms,5055.190298007801,1,2026-07-01
cpu,mask2former,segmentation,set,1280,warm_latency,mean_ms,3546.2454246007837,10,2026-07-01
cpu,mask2former,segmentation,set,1280,warm_latency,median_ms,3364.4201819988666,10,2026-07-01
cpu,mask2former,segmentation,set,1280,warm_latency,std_ms,519.1713245581765,10,2026-07-01
cpu,mask2former,segmentation,set,1280,throughput,imgs_per_sec,0.2819883793329319,10,2026-07-01
cpu,mask2former,segmentation,set,1280,peak_rss,rss_mb,2615.05078125,1,2026-07-01
